YEARMODA,precipitation,sunshine_duration
20220601,2.2,74
20220602,0.0,281
20220603,0.3,333
20220604,3.1,633
20220605,15.0,122
20220606,0.6,420
20220607,8.1,165
20220608,2.1,439
20220609,1.5,274
20220610,0.0,880
20220611,0.0,887
20220612,2.0,836
20220613,1.6,581
20220614,0.0,810
20220615,0.0,700
20220616,0.7,791
20220617,0.0,764
20220618,0.0,834
20220619,0.0,787
20220620,0.0,749
20220621,0.0,465
20220622,4.0,81
20220623,1.5,744
20220624,12.0,127
20220625,0.8,744
20220626,0.9,771
20220627,5.4,379
20220628,0.1,23
20220629,0.0,531
20220630,14.5,546
20220701,8.0,328
20220702,0.0,725
20220703,0.1,805
20220704,7.3,165
20220705,0.0,654
20220706,0.0,782
20220707,0.0,437
20220708,0.0,836
20220709,0.0,744
20220710,0.0,340
20220711,0.0,860
20220712,0.0,852
20220713,0.0,726
20220714,0.0,730
20220715,0.0,807
20220716,0.0,863
20220717,0.0,864
20220718,0.0,863
20220719,0.0,844
20220720,12.7,406
20220721,0.3,622
20220722,0.7,786
20220723,6.1,313
20220724,0.0,833
20220725,0.1,739
20220726,0.7,202
20220727,0.0,506
20220728,0.3,635
20220729,1.4,110
20220730,0.0,397
20220731,0.0,626
20220801,1.5,643
20220802,0.0,820
20220803,0.0,832
20220804,0.0,809
20220805,25.7,482
20220806,1.4,0
20220807,0.0,84
20220808,0.0,819
20220809,0.0,817
20220810,0.0,814
20220811,0.0,802
20220812,0.0,807
20220813,0.0,808
20220814,0.0,422
20220815,0.5,551
20220816,0.0,788
20220817,9.6,332
20220818,7.4,80
20220819,9.0,0
20220820,4.4,101
20220821,0.0,515
20220822,0.0,762
20220823,0.0,777
20220824,0.0,692
20220825,0.0,772
20220826,5.2,537
20220827,2.0,105
20220828,0.0,376
20220829,0.0,728
20220830,12.1,572
20220831,2.1,59
